Grão 510 | Harmônicos: 138 | R²: 0.9990
Grão 512 | Harmônicos: 177 | R²: 0.9992
Grão 514 | Harmônicos: 128 | R²: 0.9990
Grão 516 | Harmônicos: 145 | R²: 0.9990
Grão 518 | Harmônicos: 173 | R²: 0.9993
Grão 520 | Harmônicos: 32 | R²: 0.9990
Grão 521 | Harmônicos: 173 | R²: 0.9993
Grão 522 | Harmônicos: 112 | R²: 0.9990
Grão 524 | Harmônicos: 156 | R²: 0.9990
Grão 526 | Harmônicos: 60 | R²: 0.9977
Grão 527 | Harmônicos: 47 | R²: 0.9990
Grão 528 | Harmônicos: 179 | R²: 0.9989
Grão 529 | Harmônicos: 57 | R²: 0.9990
Grão 532 | Harmônicos: 177 | R²: 0.9992
Grão 533 | Harmônicos: 178 | R²: 0.9993
Grão 534 | Harmônicos: 151 | R²: 0.9990
Grão 535 | Harmônicos: 105 | R²: 0.9990
Grão 536 | Harmônicos: 119 | R²: 0.9990
Grão 537 | Harmônicos: 59 | R²: 0.9990
Grão 538 | Harmônicos: 52 | R²: 0.9990
Grão 539 | Harmônicos: 179 | R²: 0.9995
Grão 540 | Harmônicos: 168 | R²: 0.9990
Grão 541 | Harmônicos: 157 | R²: 0.9991
Grão 542 | Harmônicos: 164 | R²: 0.9990
Grão 543 | Harmônicos: 174 | R²: 0.9991
Grão 544 | Harmônicos: 44 | R²: 0.9990
Grão 545 | Harmônicos: 127 | R²: 0.9990
Grão 546 | Harmônicos: 125 | R²: 0.9990
Grão 547 | Harmônicos: 135 | R²: 0.9991
Grão 548 | Harmônicos: 124 | R²: 0.9990
Grão 549 | Harmônicos: 74 | R²: 0.9991
Grão 550 | Harmônicos: 160 | R²: 0.9990
Grão 551 | Harmônicos: 49 | R²: 0.9991
Grão 552 | Harmônicos: 179 | R²: 0.9987
Grão 553 | Harmônicos: 124 | R²: 0.9990
Grão 555 | Harmônicos: 54 | R²: 0.9991
Grão 556 | Harmônicos: 80 | R²: 0.9990
Grão 557 | Harmônicos: 175 | R²: 0.9992
Grão 558 | Harmônicos: 113 | R²: 0.9931
Grão 559 | Harmônicos: 20 | R²: 0.9991
Grão 560 | Harmônicos: 132 | R²: 0.9991
Grão 561 | Harmônicos: 173 | R²: 0.9991
Grão 562 | Harmônicos: 179 | R²: 0.9999
Grão 563 | Harmônicos: 170 | R²: 0.9991
Grão 564 | Harmônicos: 177 | R²: 0.9991
Grão 565 | Harmônicos: 63 | R²: 0.9990
Grão 566 | Harmônicos: 55 | R²: 0.9990
Grão 567 | Harmônicos: 40 | R²: 0.9990
Grão 568 | Harmônicos: 91 | R²: 0.9990
Grão 569 | Harmônicos: 60 | R²: 0.9990
Grão 571 | Harmônicos: 178 | R²: 0.9995
Grão 572 | Harmônicos: 65 | R²: 0.9990
Grão 573 | Harmônicos: 156 | R²: 0.9990
Grão 574 | Harmônicos: 86 | R²: 0.9990
Grão 575 | Harmônicos: 34 | R²: 0.9991
Grão 576 | Harmônicos: 158 | R²: 0.9990
Grão 577 | Harmônicos: 162 | R²: 0.9990
Grão 578 | Harmônicos: 126 | R²: 0.9990
Grão 579 | Harmônicos: 138 | R²: 0.9990
Grão 580 | Harmônicos: 47 | R²: 0.9991
Grão 581 | Harmônicos: 152 | R²: 0.9990
Grão 582 | Harmônicos: 47 | R²: 0.9990
Grão 583 | Harmônicos: 135 | R²: 0.9990
Grão 584 | Harmônicos: 176 | R²: 0.9991
Grão 586 | Harmônicos: 132 | R²: 0.9990
Grão 587 | Harmônicos: 154 | R²: 0.9990
Grão 589 | Harmônicos: 165 | R²: 0.9990
Grão 591 | Harmônicos: 165 | R²: 0.9990
Grão 593 | Harmônicos: 113 | R²: 0.9990
Grão 594 | Harmônicos: 163 | R²: 0.9990
Grão 595 | Harmônicos: 133 | R²: 0.9990
Grão 596 | Harmônicos: 62 | R²: 0.9990
Grão 597 | Harmônicos: 79 | R²: 0.9990
