label,area,perimeter,eccentricity,solidity,extent,major_axis_length,minor_axis_length,equivalent_diameter,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,circularity
341,176,"59,5979797464467","0,585219836872955","0,811059907834101","0,578947368421053","17,7609415316378","14,4018977356834","14,9696412740382","304,886363636364","480,284090909091",295,474,314,490,"0,622672169581571"
342,430,"96,4264068711929","0,810435896401808","0,811320754716981","0,570291777188329","32,6565930742196","19,1311246508753","23,3985684227929","308,458139534884","568,660465116279",293,557,322,583,"0,581147470225954"
343,205,"73,254833995939","0,921263728503467","0,756457564575646","0,41","28,6195475583425","11,1312433741646","16,1559310060024","301,90243902439","1078,41951219512",289,1070,314,1090,"0,480055166455278"
344,464,"96,9472221513642","0,762628289785441","0,862453531598513","0,623655913978495","31,4592535435047","20,3490088694033","24,306031118986","309,424568965517","1159,66163793103",293,1147,324,1171,"0,620379024064245"
345,181,"53,4558441227157","0,804303624336749","0,918781725888325","0,696153846153846","20,2286904366087","12,0202630096775","15,1807890966532","309,834254143646","924,950276243094",304,914,317,934,"0,795972484456765"
346,438,"82,1837661840736","0,829832470216454","0,943965517241379","0,695238095238095","31,8279749591033","17,7604113338946","23,6152264565471","311,422374429224","1305,22146118721",302,1290,323,1320,"0,814914218695966"
347,230,"61,5979797464467","0,745842573651117","0,881226053639847","0,550239234449761","21,7955023401368","14,5184691140612","17,1127173554958","312,408695652174","330,465217391304",302,322,324,341,"0,761736494028146"
348,299,"85,8111831820431","0,845915838653378","0,743781094527363","0,542649727767695","28,528024474637","15,2144636169992","19,5114997854038","313,096989966555","1092,92642140468",304,1079,323,1108,"0,510262052970527"
349,1140,"144,02438661764","0,422553504353142","0,910543130990415","0,695970695970696","40,7107914318707","36,8977365147711","38,0984655989987","311,79298245614","1338,88596491228",289,1321,331,1360,"0,690625558809621"
350,459,"103,982756057297","0,876159192190166","0,806678383128295","0,493548387096774","37,5944645202399","18,1213535742519","24,1747171862142","315,714596949891","410,897603485839",304,398,335,428,"0,533457593111755"
351,583,"92,9472221513642","0,523768953703969","0,934294871794872","0,670114942528736","29,8014333135757","25,3866598893758","27,2451583695269","314,569468267582","91,6192109777015",300,78,330,107,"0,848019012274295"
352,287,"69,3553390593274","0,797889601352652","0,899686520376176","0,629385964912281","24,9377766389858","15,0325816142409","19,1159553603526","312,808362369338","130,128919860627",301,122,325,141,"0,749776738191179"
353,303,"68,2842712474619","0,78013373826147","0,940993788819876","0,731884057971014","25,0401297112996","15,6654251587829","19,6415778911663","316,752475247525","1178,19141914191",306,1170,329,1188,"0,81660330794576"
354,552,"101,497474683058","0,861551936658103","0,878980891719745","0,630857142857143","38,4729385621719","19,5315351799669","26,510907730476","318,711956521739","296,661231884058",308,279,333,314,"0,673346284416166"
355,156,"51,1126983722081","0,724593266846948","0,896551724137931","0,577777777777778","17,5932727810334","12,1248746196332","14,0934512798919","319,442307692308","471,089743589744",310,463,328,478,"0,750372387260837"
356,401,"80,5269119345812","0,806476632529077","0,926096997690531","0,742592592592593","30,0254046247468","17,7529998353244","22,5957752121674","317,84289276808","985,359102244389",309,970,327,1000,"0,777091478709398"
357,784,"128,669047558312","0,804044536732634","0,828752642706131","0,614420062695925","44,4672734015655","26,4388655395032","31,5946166786744","319,973214285714","442,063775510204",301,429,345,458,"0,595083288470754"
358,477,"87,7401153701776","0,566777069530139","0,924418604651163","0,657931034482759","27,4114228200404","22,5834818002333","24,6441729996905","318,316561844864","500,67714884696",307,488,332,517,"0,778631269491659"
359,449,"84,6690475583121","0,720402949720266","0,947257383966245","0,616758241758242","29,3806093980831","20,3770908338615","23,909925879979","320,706013363029","636,694877505568",309,625,335,653,"0,787058214836184"
360,225,"67,698484809835","0,816977439273585","0,795053003533569","0,551470588235294","24,5188560348669","14,1392796706788","16,9256875064327","324,084444444444","185,991111111111",315,177,339,194,"0,616928004502843"
361,509,"123,01828996323","0,813088695227101","0,714887640449438","0,523662551440329","37,7208692089253","21,9588201302437","25,4573943731521","318,023575638507","721,16699410609",305,702,332,738,"0,422657203164983"
362,578,"99,1543289325507","0,859934843514964","0,955371900826446","0,583838383838384","38,5568437461762","19,6795605406011","27,1280750672974","325,294117647059","786,387543252595",312,769,342,802,"0,738778661839436"
363,800,"127,432503525603","0,756978588891411","0,871459694989107","0,634920634920635","41,2653633644254","26,9644258496624","31,9153824321146","327,2375","214,88625",312,196,342,238,"0,619069517795327"
364,1359,"178,302561210692","0,414646248337766","0,80414201183432","0,604","45,7409555126392","41,6234775555783","41,5972660314964","330,24944812362","154,726269315673",307,134,357,179,"0,537172977743391"
365,878,"119,154328932551","0,532343006447902","0,932059447983015","0,679566563467492","37,0321963824246","31,3488188895148","33,4350761966751","327,47722095672","606,282460136674",307,589,345,623,"0,777113994162725"
366,256,"71,840620433566","0,494338385512178","0,815286624203822","0,641604010025063","20,1383001681114","17,5056112413362","18,0540666735282","328,94921875","60,19140625",321,50,340,71,"0,623318017403549"
367,572,"91,7401153701776","0,538425997152086","0,950166112956811","0,706172839506173","29,7213457379282","25,0453695927328","26,9869045944234","327,832167832168","1139,94230769231",315,1126,342,1156,"0,854057928828017"
368,222,"67,3553390593274","0,91442606587943","0,8671875","0,548148148148148","27,4147305020455","11,0961937047673","16,8124709347319",332,"974,256756756757",325,961,340,988,"0,614920235928926"
369,468,"96,7045814642449","0,365914449787661","0,829787234042553","0,692307692307692","26,1655416484367","24,3509218743139","24,4105736707693","330,42094017094","1035,37606837607",318,1023,344,1049,"0,62887107214886"
370,290,"71,840620433566","0,78646702388511","0,900621118012422","0,575396825396825","25,3024403189195","15,6276036383406","19,2156048037317","332,327586206897","1318,41724137931",323,1306,344,1330,"0,706102441589958"
371,322,"81,6335136523794","0,850243758064054","0,863270777479893","0,670833333333333","28,6201377333457","15,0653303722069","20,2480402361493","336,518633540373","1185,91925465839",329,1173,345,1203,"0,607195796405053"
372,270,"62,2842712474619","0,651330234831216","0,934256055363322","0,714285714285714","21,6021960116031","16,391625129616","18,5411616971131","337,944444444444","376,7",330,367,348,388,"0,874614863088294"
373,708,"105,01219330882","0,383965259017579","0,926701570680628","0,736732570239334","31,8104617448936","29,3721116026062","30,0242168536083","338,165254237288","683,954802259887",321,669,352,700,"0,806795863735063"
374,623,"102,225396744416","0,632759773393999","0,931240657698057","0,618055555555556","32,7809930273749","25,3839015549586","28,1643078446818","339,049759229534","946,272873194221",321,933,357,961,"0,749169867409458"
375,474,"98,4264068711929","0,852730892456889","0,846428571428571","0,564285714285714","35,3020478756188","18,4400416897617","24,5665533643706","339,392405063291","355,594936708861",321,343,356,367,"0,614844005790745"
